                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.6878,                 1.2669,                 1.5279,                0.57191,                  0.525,                 0.4931,                0.19939,                 2.3888,                 1.7541,                 2.0861,             0.00042102,             0.00042102,             0.00042102
                     60,                 1.6908,                 1.2574,                 1.5432,                0.59726,                0.50224,                0.50075,                0.18991,                 2.4234,                 1.7519,                 2.1056,             0.00040334,             0.00040334,             0.00040334
                     61,                 1.6565,                  1.219,                 1.4961,                0.54794,                0.51012,                0.48273,                0.19598,                 2.4144,                 1.7707,                  2.109,             0.00038565,             0.00038565,             0.00038565
                     62,                 1.6434,                 1.2157,                 1.4833,                0.57998,                0.49693,                 0.4824,                0.19863,                 2.4228,                  1.766,                 2.1174,             0.00036797,             0.00036797,             0.00036797
                     63,                 1.6145,                   1.21,                 1.4727,                 0.5788,                0.50699,                 0.5008,                0.19516,                 2.4323,                 1.7542,                 2.1437,             0.00035028,             0.00035028,             0.00035028
                     64,                 1.6182,                 1.2033,                 1.4734,                0.59791,                0.52693,                0.50771,                0.19889,                 2.4259,                 1.7356,                 2.1423,              0.0003326,              0.0003326,              0.0003326
                     65,                 1.6327,                 1.2066,                 1.4913,                0.60185,                0.50364,                0.50221,                0.19598,                 2.4316,                 1.7449,                 2.1297,             0.00031492,             0.00031492,             0.00031492
                     66,                 1.5947,                 1.1495,                 1.4505,                0.62575,                 0.5067,                 0.5096,                0.19637,                  2.461,                 1.7335,                 2.1601,             0.00029723,             0.00029723,             0.00029723
                     67,                 1.5947,                 1.1686,                 1.4601,                0.60766,                0.48991,                0.49516,                0.19238,                 2.4377,                 1.7327,                  2.147,             0.00027955,             0.00027955,             0.00027955
                     68,                 1.5504,                 1.0988,                 1.4221,                0.60599,                0.51045,                0.50734,                0.19777,                  2.438,                 1.7347,                 2.1564,             0.00026186,             0.00026186,             0.00026186
                     69,                 1.5591,                 1.1141,                 1.4145,                0.54956,                0.52965,                0.48892,                0.18982,                 2.4705,                 1.7788,                 2.1779,             0.00024418,             0.00024418,             0.00024418
                     70,                 1.5457,                 1.0875,                 1.4107,                0.58333,                0.49994,                0.49418,                0.19287,                 2.4761,                 1.7466,                 2.1889,              0.0002265,              0.0002265,              0.0002265
                     71,                 1.6176,                  1.123,                 1.5021,                 0.5369,                0.53103,                0.49629,                0.18927,                 2.4462,                   1.72,                 2.1839,             0.00020881,             0.00020881,             0.00020881
                     72,                 1.5541,                 1.0766,                 1.4648,                0.54958,                0.51672,                0.49952,                 0.1992,                 2.4056,                 1.7295,                   2.13,             0.00019113,             0.00019113,             0.00019113
                     73,                 1.5149,                 1.0377,                 1.4493,                0.55407,                0.52823,                0.50681,                0.20174,                 2.4384,                 1.7291,                 2.1567,             0.00017344,             0.00017344,             0.00017344
                     74,                 1.4982,                 1.0396,                 1.4224,                0.56644,                0.50344,                0.49497,                0.18966,                 2.4643,                 1.7404,                 2.1772,             0.00015576,             0.00015576,             0.00015576
                     75,                  1.478,                 1.0022,                 1.4055,                0.54876,                 0.5064,                0.49069,                0.19291,                  2.467,                 1.7411,                 2.2051,             0.00013808,             0.00013808,             0.00013808
                     76,                 1.4826,                0.99493,                 1.4109,                0.54821,                0.52094,                0.49246,                0.19065,                 2.4637,                 1.7513,                 2.2008,             0.00012039,             0.00012039,             0.00012039
                     77,                 1.4351,                0.95526,                 1.3683,                0.55559,                 0.4976,                0.47776,                0.18664,                 2.4716,                 1.7644,                 2.1998,             0.00010271,             0.00010271,             0.00010271
                     78,                 1.4503,                0.95187,                 1.3902,                0.54522,                0.52026,                0.48555,                0.18774,                 2.4791,                 1.7553,                 2.2161,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     79,                 1.4342,                0.94373,                 1.3765,                0.54006,                0.52101,                0.48276,                 0.1866,                 2.4816,                 1.7601,                 2.2109,             6.7342e-05,             6.7342e-05,             6.7342e-05
                     80,                 1.4208,                 0.9377,                 1.3578,                0.55073,                0.52115,                0.48392,                0.19002,                 2.4758,                 1.7672,                 2.2128,             4.9658e-05,             4.9658e-05,             4.9658e-05
